step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ260_stopped,gneJ260_accumulated_waiting_time,gneJ260_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57820.0,43,4433.0,62.436619718309856,4.152978972710453,2,26.0,0.3294834511972523,5,562.0,0.0,8,942.0,0.0024490083183453036,0,0.0,0.9769988629184329,1,84.0,0.4768932098348269,6,358.0,0.0,6,839.0,0.3212893057863587,28,2811.0
57825.0,45,4654.0,65.54929577464789,3.6935671999330757,2,36.0,0.02078394202236979,5,587.0,0.0,10,988.0,0.000173930400376634,0,0.0,0.8427613644773982,1,89.0,0.0,6,388.0,0.0,6,871.0,0.32191000204616643,30,2959.0
57830.0,48,4889.0,67.90277777777777,3.6650495955154523,3,51.0,2.7727472480668333e-05,5,612.0,0.0,10,1038.0,0.0,0,0.0,0.9238732343264817,1,94.0,0.44104690284805714,6,418.0,0.13274686739279667,6,897.0,0.3199665036759559,31,3110.0
57835.0,44,5058.0,72.25714285714285,3.9067679264335498,0,25.0,0.22545610708103603,5,637.0,0.160860564462043,10,1088.0,0.0,0,0.0,0.9233935348755755,1,99.0,0.32001072960593346,6,448.0,0.0,6,925.0,0.13462214509760356,28,3222.0
57840.0,46,5279.0,75.41428571428571,3.571502934285591,1,1.0,0.08999017711938156,5,662.0,0.0,10,1138.0,0.0,0,0.0,0.9845954192055144,1,104.0,0.3580452053484034,6,478.0,0.0,6,955.0,0.0,29,3338.0
57845.0,48,5509.0,77.59154929577464,3.5547641483851686,2,11.0,0.0,5,687.0,0.0,10,1188.0,0.0,0,0.0,0.9566549691356826,1,109.0,0.39590879869974827,6,508.0,0.13816416515122498,6,985.0,0.14111417349632832,30,3488.0
57850.0,45,5718.0,78.32876712328768,3.909167898612643,0,0.0,0.9395328420971998,5,712.0,0.0,10,1238.0,0.0,0,0.0,0.9425612130635793,1,114.0,0.0,6,538.0,0.0,6,1015.0,0.0,28,3617.0
57855.0,44,5938.0,80.24324324324324,4.298910548725114,0,0.0,0.8659969075091773,5,737.0,0.0,10,1288.0,0.0,0,0.0,0.9513988489258032,1,119.0,0.0,6,568.0,0.07906412164905072,6,1045.0,0.0,28,3757.0
57860.0,48,6164.0,83.29729729729729,3.5273422073846223,1,3.0,0.30563998584128804,5,762.0,0.0,10,1338.0,0.0,0,0.0,0.9176192736369865,1,124.0,0.0,7,601.0,0.18288005289178494,6,1075.0,0.0,30,3903.0
57865.0,49,6396.0,84.15789473684211,3.4905447418415507,0,0.0,0.7455447026877692,6,787.0,0.14094581017778843,10,1388.0,0.0,0,0.0,1.0,1,129.0,0.0,9,643.0,0.20510078454732864,6,1107.0,0.13392039620068574,32,4054.0
57870.0,51,6643.0,91.0,2.8848823084544346,1,2.0,0.0002478029781688517,5,812.0,0.16960926035120252,10,1438.0,0.0,0,0.0,1.0,1,134.0,0.0,11,693.0,0.026674970808401924,6,1137.0,0.13557559722534948,34,4216.0
57875.0,53,6899.0,94.5068493150685,2.985525459423079,0,0.0,1.0,6,840.0,0.00010833590722179241,10,1488.0,0.0,0,0.0,1.0,1,139.0,0.3722813232752238,12,750.0,0.059593304183291076,6,1165.0,0.0,35,4382.0
57880.0,55,7166.0,99.52777777777777,2.6519064354206288,0,0.0,0.9664059402890203,6,870.0,0.0,10,1538.0,0.0,0,0.0,0.5847798603599592,1,144.0,0.0,13,812.0,7.113015105089956e-05,6,1195.0,0.0,36,4559.0
57885.0,56,7424.0,100.32432432432432,2.7187171814424618,1,1.0,0.3372535844431309,6,900.0,0.0,10,1599.0,0.04309981784320687,0,0.0,0.939416071628846,1,149.0,0.45708001747570315,13,877.0,0.0,6,1225.0,0.0,37,4751.0
57890.0,58,7700.0,101.3157894736842,2.490409798419438,2,8.0,0.5646427247689597,6,930.0,0.0,11,1652.0,5.712336424464072e-07,0,0.0,0.9701968438535398,1,154.0,0.45073692300128615,13,942.0,0.0,6,1255.0,0.0,39,4941.0
