step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
470.0,1,1.0,0.038461538461538464,8.560489124427479,1,16.0,0.47986490643482405,1,16.0
475.0,5,17.0,0.7727272727272727,8.269207207136667,5,17.0,0.40718658018727666,5,17.0
480.0,2,9.0,0.3333333333333333,8.538049590715461,2,28.0,0.5574452428803538,2,28.0
485.0,2,10.0,0.37037037037037035,9.943891144250749,2,16.0,0.6584764144084465,2,16.0
490.0,3,22.0,0.8148148148148148,9.12610040921549,3,22.0,0.5265611644331417,3,22.0
495.0,3,4.0,0.14814814814814814,7.192583981786378,3,16.0,0.3694786007298265,3,16.0
500.0,6,26.0,1.0833333333333333,8.50369275826975,6,27.0,0.4580977235006734,6,27.0
505.0,2,4.0,0.17391304347826086,8.275890990416702,2,32.0,0.4530072388349045,2,32.0
510.0,4,15.0,0.6521739130434783,9.716804401032642,4,19.0,0.6163960082176968,4,19.0
515.0,1,1.0,0.04,9.278212662802598,1,13.0,0.5929191198771175,1,13.0
520.0,5,16.0,0.6153846153846154,8.63369842833218,5,16.0,0.436298049207911,5,16.0
525.0,3,9.0,0.391304347826087,7.25965791162095,3,28.0,0.3854670670943332,3,28.0
530.0,1,4.0,0.18181818181818182,9.182901684596505,1,14.0,0.5637313279917531,1,14.0
535.0,2,12.0,0.5454545454545454,11.188268292925942,2,12.0,0.7188351890517287,2,12.0
540.0,3,24.0,1.1428571428571428,10.494483881799098,3,24.0,0.5605054462735304,3,24.0
545.0,1,1.0,0.05555555555555555,9.407503841323845,1,7.0,0.5562528487614329,1,7.0
550.0,3,10.0,0.5263157894736842,9.710058463058388,3,10.0,0.616158067431267,3,10.0
555.0,0,0.0,0.0,8.913814834322162,0,7.0,0.6179931933217632,0,7.0
560.0,0,0.0,0.0,9.443337123005483,0,0.0,0.6511615246816754,0,0.0
565.0,3,10.0,0.47619047619047616,10.691684626170526,3,10.0,0.6640798353801517,3,10.0
570.0,1,2.0,0.10526315789473684,8.797092013781912,1,8.0,0.5163517822968702,1,8.0
575.0,3,14.0,0.7368421052631579,9.803105599434847,3,14.0,0.5590882312481096,3,14.0
580.0,0,0.0,0.0,8.121296873516899,0,10.0,0.49257000271006074,0,10.0
585.0,0,0.0,0.0,9.463337580457358,0,0.0,0.611629354419841,0,0.0
590.0,0,0.0,0.0,11.810362554283664,0,0.0,0.8743510660801742,0,0.0
595.0,0,0.0,0.0,12.08622126800337,0,0.0,0.9524157624633773,0,0.0
600.0,0,0.0,0.0,11.90136926054854,0,0.0,0.8199373621029837,0,0.0
605.0,2,5.0,0.45454545454545453,7.82770185773501,2,5.0,0.5073085764619335,2,5.0
610.0,1,2.0,0.125,8.495697048470445,1,9.0,0.6298849441657264,1,9.0
615.0,1,7.0,0.3333333333333333,11.19422005050336,1,5.0,0.8015280466871346,1,5.0
620.0,2,3.0,0.11538461538461539,9.615084221706713,2,3.0,0.6471609438334578,2,3.0
625.0,6,27.0,0.9310344827586207,9.176005292482882,6,27.0,0.5143872686999698,6,27.0
630.0,4,12.0,0.4444444444444444,7.015061425577802,4,40.0,0.3848359568718353,4,40.0
635.0,3,12.0,0.5,6.046720994359403,3,27.0,0.30664118385856454,3,27.0
640.0,4,30.0,1.0344827586206897,8.711460896566873,4,30.0,0.490970576913913,4,30.0
645.0,4,50.0,1.6666666666666667,9.956160592214818,4,50.0,0.6332860216788712,4,50.0
650.0,2,2.0,0.07142857142857142,8.247800503304713,2,28.0,0.49213628084415134,2,28.0
655.0,6,22.0,0.8148148148148148,8.068444127830784,6,22.0,0.36553846201939677,6,22.0
660.0,4,14.0,0.5833333333333334,6.756235565587752,4,38.0,0.345715724954132,4,38.0
665.0,0,0.0,0.0,8.928048592051333,0,13.0,0.5799312201296954,0,13.0
670.0,1,3.0,0.12,10.300825811491904,1,4.0,0.6629648075563161,1,4.0
675.0,3,16.0,0.6666666666666666,9.849416769342005,3,16.0,0.6326609872923141,3,16.0
680.0,2,2.0,0.08695652173913043,8.107558811627632,2,10.0,0.5083747817979243,2,10.0
685.0,6,26.0,1.1304347826086956,7.94266825947871,6,26.0,0.4843809359911297,6,26.0
690.0,4,10.0,0.43478260869565216,6.898373483488175,4,38.0,0.3877957593446013,4,38.0
695.0,1,4.0,0.17391304347826086,7.900311420089524,1,16.0,0.5018996669036717,1,16.0
700.0,2,10.0,0.37037037037037035,10.047094939019503,2,10.0,0.6998389139834301,2,10.0
705.0,3,24.0,0.8275862068965517,9.135610594391574,3,24.0,0.5685901516268377,3,24.0
710.0,4,6.0,0.2222222222222222,7.179293588253937,4,22.0,0.4008626279656572,4,22.0
715.0,3,18.0,0.6923076923076923,9.12058006233567,3,21.0,0.5508506125796835,3,21.0
720.0,2,5.0,0.18518518518518517,8.450493906313998,2,21.0,0.5196954600001873,2,21.0
725.0,3,18.0,0.6206896551724138,9.585042772130429,3,20.0,0.6277963900627496,3,20.0
730.0,3,9.0,0.2903225806451613,7.554268696727906,3,23.0,0.44749762582517466,3,23.0
735.0,8,38.0,1.1515151515151516,7.391868431042216,8,39.0,0.391021410252838,8,39.0
740.0,8,29.0,0.8529411764705882,6.191687873433402,8,61.0,0.2689697053749039,8,61.0
745.0,4,16.0,0.48484848484848486,7.445608974079934,4,60.0,0.39175558121442206,4,60.0
750.0,3,24.0,0.8,7.810884734843835,3,41.0,0.36831244189809187,3,41.0
755.0,6,49.0,1.6333333333333333,8.921052422321818,6,50.0,0.4481693800481782,6,50.0
760.0,3,7.0,0.25,7.9217331753221165,3,40.0,0.411824538020079,3,40.0
765.0,5,22.0,0.88,8.482395009178761,5,28.0,0.42134656991753855,5,28.0
770.0,4,12.0,0.4444444444444444,8.72279150680088,4,42.0,0.510364304797202,4,42.0
775.0,3,14.0,0.56,8.550141704249299,3,25.0,0.5071105048330057,3,25.0
780.0,4,34.0,1.1724137931034482,9.617871619860866,4,39.0,0.5971281635575165,4,39.0
785.0,1,1.0,0.03571428571428571,8.214485890479043,1,22.0,0.5260404931521256,1,22.0
790.0,7,23.0,0.8518518518518519,7.744029092114045,7,23.0,0.3945089759748008,7,23.0
795.0,6,19.0,0.6785714285714286,7.200258173392344,6,44.0,0.420298180169855,6,44.0
800.0,2,11.0,0.39285714285714285,8.854055827055522,2,31.0,0.5604615344375621,2,31.0
805.0,4,25.0,0.8620689655172413,8.606974737731974,4,27.0,0.486038294231371,4,27.0
810.0,2,3.0,0.10714285714285714,6.843113870070227,2,17.0,0.31706007689957466,2,17.0
815.0,6,20.0,0.7142857142857143,7.959843127654359,6,21.0,0.41254619851581414,6,21.0
820.0,5,13.0,0.5,7.986345278936606,5,37.0,0.4136238805680816,5,37.0
825.0,1,6.0,0.24,9.528452270039372,1,21.0,0.6169493655510837,1,21.0
830.0,4,19.0,0.6785714285714286,9.934303913627787,4,20.0,0.611332675440784,4,20.0
835.0,1,1.0,0.03333333333333333,8.383673551990107,1,17.0,0.5316990234535183,1,17.0
840.0,4,16.0,0.5925925925925926,8.572677053912601,4,16.0,0.505982731557931,4,16.0
845.0,2,3.0,0.11538461538461539,6.866280439324144,2,19.0,0.32402381147252485,2,19.0
850.0,2,9.0,0.34615384615384615,8.988416957518048,2,13.0,0.5054799161743454,2,13.0
855.0,3,20.0,0.8333333333333334,9.715933002842775,3,20.0,0.5430916957951579,3,20.0
860.0,3,35.0,1.4583333333333333,10.359445669679639,3,35.0,0.6964939347681778,3,35.0
865.0,3,50.0,2.0833333333333335,10.356517043962201,3,50.0,0.6496816775849253,3,50.0
870.0,0,0.0,0.0,9.4741503943655,0,14.0,0.6638536727207015,0,14.0
875.0,3,11.0,0.5238095238095238,8.743158851656784,3,11.0,0.5598012057462098,3,11.0
880.0,1,1.0,0.045454545454545456,8.068182810085853,1,16.0,0.5012258918648589,1,16.0
885.0,1,2.0,0.09523809523809523,8.646591652527263,1,4.0,0.5189911980154441,1,4.0
890.0,2,12.0,0.48,11.042644098869015,2,12.0,0.7541500652832359,2,12.0
895.0,2,22.0,0.8461538461538461,10.60482830080053,2,22.0,0.7251075094683029,2,22.0
900.0,3,35.0,1.4,9.784385355282364,3,35.0,0.6312177786760645,3,35.0
905.0,1,1.0,0.05,8.093426852178165,1,10.0,0.48218698125245435,1,10.0
910.0,5,22.0,1.1,8.377917167944325,5,22.0,0.43126488469207097,5,22.0
915.0,1,4.0,0.16666666666666666,9.150407136193529,1,29.0,0.596436128745803,1,29.0
920.0,2,5.0,0.22727272727272727,9.823992860184312,2,9.0,0.6297020442212428,2,9.0
925.0,4,19.0,0.8636363636363636,9.475042665015152,4,19.0,0.5313384887620678,4,19.0
930.0,0,0.0,0.0,9.20423641570734,0,15.0,0.6156790052443266,0,15.0
